provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOUR_YIY_R40_2.M,PET.M_EPOUR_YIY_R40_2.M,"PADD 4 Refinery Net Input of Residuum, Monthly","PADD 4 Refinery Net Input of Residuum, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOBG_YIY_R40_2.M,PET.M_EPOBG_YIY_R40_2.M,"PADD 4 Refinery Net Input of Gasoline Blending Components, Monthly","PADD 4 Refinery Net Input of Gasoline Blending Components, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPL0_YIB_R40_MBBLD.M,PET.M_EPL0_YIB_R40_MBBLD.M,"PADD 4 Blender Net Input of Hydrocarbon Gas Liquids, Monthly ","PADD 4 Blender Net Input of Hydrocarbon Gas Liquids, Monthly "
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOXE_YIB_R40_2.M,PET.M_EPOOXE_YIB_R40_2.M,"PADD 4 Blender Net Input of Fuel Ethanol, Monthly","PADD 4 Blender Net Input of Fuel Ethanol, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOORD_YIB_R40_MBBLD.M,PET.M_EPOORD_YIB_R40_MBBLD.M,"PADD 4 Blender Net Input of Renewable Diesel Fuel, Monthly","PADD 4 Blender Net Input of Renewable Diesel Fuel, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOBG_YIB_R40_2.M,PET.M_EPOBG_YIB_R40_2.M,"PADD 4 Blender Net Input of Gasoline Blending Components, Monthly","PADD 4 Blender Net Input of Gasoline Blending Components, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,CRUDEOIL,Monthly,KBD,PET.MTTRX_R40_2.M,PET.MTTRX_R40_2.M,"PADD 4 Refinery Net Production of Crude Oil and Petroleum Products, Monthly","PADD 4 Refinery Net Production of Crude Oil and Petroleum Products, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MLPRX_R40_2.M,PET.MLPRX_R40_2.M,"PADD 4 Refinery Net Production of Liquified Petroleum Gases, Monthly","PADD 4 Refinery Net Production of Liquified Petroleum Gases, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MPLRX_R40_2.M,PET.MPLRX_R40_2.M,"PADD 4 Refinery Net Production of Propylene, Monthly","PADD 4 Refinery Net Production of Propylene, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MGFRX_R40_2.M,PET.MGFRX_R40_2.M,"PADD 4 Refinery Net Production of Finished Motor Gasoline, Monthly","PADD 4 Refinery Net Production of Finished Motor Gasoline, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MKJRX_R40_2.M,PET.MKJRX_R40_2.M,"PADD 4 Refinery Net Production of Kerosene-Type Jet Fuel, Monthly","PADD 4 Refinery Net Production of Kerosene-Type Jet Fuel, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MD0RX_R40_2.M,PET.MD0RX_R40_2.M,"PADD 4 Refinery Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur, Monthly","PADD 4 Refinery Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MD1RX_R40_2.M,PET.MD1RX_R40_2.M,"PADD 4 Refinery Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur, Monthly","PADD 4 Refinery Net Production of Distillate Fuel Oil, Greater than 15 to 500 ppm Sulfur, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MDGRX_R40_2.M,PET.MDGRX_R40_2.M,"PADD 4 Refinery Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur, Monthly","PADD 4 Refinery Net Production of Distillate Fuel Oil, Greater Than 500 ppm Sulfur, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MCMRX_R40_2.M,PET.MCMRX_R40_2.M,"PADD 4 Refinery Net Production of Petroleum Coke Marketable, Monthly","PADD 4 Refinery Net Production of Petroleum Coke Marketable, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MAPRX_R40_2.M,PET.MAPRX_R40_2.M,"PADD 4 Refinery Net Production of Asphalt and Road Oil, Monthly","PADD 4 Refinery Net Production of Asphalt and Road Oil, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MSGRX_R40_2.M,PET.MSGRX_R40_2.M,"PADD 4 Refinery Net Production of Still Gas, Monthly","PADD 4 Refinery Net Production of Still Gas, Monthly"
